Provider,Model,Input/1kTokens,Output/1kTokens,Input Cost,Output Cost,Total Cost
OpenAI,ada,$0.000400,$0.000400,$0.000040,$0.000040,$0.000080
OpenAI,text-ada-001,$0.000400,$0.000400,$0.000040,$0.000040,$0.000080
OpenAI,babbage,$0.000500,$0.000500,$0.000050,$0.000050,$0.000100
OpenAI,curie,$0.002000,$0.002000,$0.000200,$0.000200,$0.000400
OpenAI,text-curie-001,$0.002000,$0.002000,$0.000200,$0.000200,$0.000400
OpenAI,davinci,$0.020000,$0.020000,$0.002000,$0.002000,$0.004000
OpenAI,text-davinci-001,$0.020000,$0.020000,$0.002000,$0.002000,$0.004000
OpenAI,text-davinci-002,$0.020000,$0.020000,$0.002000,$0.002000,$0.004000
OpenAI,text-davinci-003,$0.020000,$0.020000,$0.002000,$0.002000,$0.004000
OpenAI,gpt-3.5-turbo,$0.001500,$0.002000,$0.000150,$0.000200,$0.000350
OpenAI,gpt-3.5-turbo-0301,$0.001500,$0.002000,$0.000150,$0.000200,$0.000350
OpenAI,gpt-35-turbo,$0.001500,$0.002000,$0.000150,$0.000200,$0.000350
OpenAI,gpt-3.5-turbo-1106,$0.001000,$0.002000,$0.000100,$0.000200,$0.000300
OpenAI,gpt-3.5-turbo-instruct,$0.001500,$0.002000,$0.000150,$0.000200,$0.000350
OpenAI,gpt-3.5-turbo-instruct-0914,$0.001500,$0.002000,$0.000150,$0.000200,$0.000350
OpenAI,gpt-4,$0.030000,$0.060000,$0.003000,$0.006000,$0.009000
OpenAI,gpt-4-0314,$0.030000,$0.060000,$0.003000,$0.006000,$0.009000
OpenAI,gpt-4-0613,$0.030000,$0.060000,$0.003000,$0.006000,$0.009000
OpenAI,gpt-4-32k,$0.060000,$0.120000,$0.006000,$0.012000,$0.018000
OpenAI,gpt-4-32k-0314,$0.060000,$0.120000,$0.006000,$0.012000,$0.018000
OpenAI,gpt-4-32k-0613,$0.060000,$0.120000,$0.006000,$0.012000,$0.018000
OpenAI,gpt-4-0125-preview,$0.010000,$0.030000,$0.001000,$0.003000,$0.004000
OpenAI,gpt-4-1106-preview,$0.010000,$0.030000,$0.001000,$0.003000,$0.004000
OpenAI,gpt-4-1106-vision-preview,$0.010000,$0.030000,$0.001000,$0.003000,$0.004000
OpenAI,gpt-4o,$0.005000,$0.015000,$0.000500,$0.001500,$0.002000
OpenAI,gpt-4o-2024-05-13,$0.005000,$0.015000,$0.000500,$0.001500,$0.002000
OpenAI,gpt-4o-mini,$0.000150,$0.000600,$0.000015,$0.000060,$0.000075
OpenAI,gpt-4o-mini-2024-07-18,$0.000150,$0.000600,$0.000015,$0.000060,$0.000075
OpenAI,gpt-3.5-turbo-0613,$0.001500,$0.002000,$0.000150,$0.000200,$0.000350
